Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
222376824,"Somewhere Beyond the Sea (Cerulean Chronicles, #2)",T.J. Klune,"Klune, T.J.",,"=""1250881226""","=""9781250881229""",0,4.14,Tor Books,Paperback,416,2025,2024,,2025/09/02,to-read,to-read (#482),to-read,,,,0,0
233895139,Better in Black,Cassandra Clare,"Clare, Cassandra",,"=""""","=""9798217225705""",0,4.12,Knopf Books for Young Readers,Hardcover,464,2025,2025,,2025/09/02,to-read,to-read (#481),to-read,,,,0,0
231936454,The Thursday Murder Club (Thursday Murder Club #1),Richard Osman,"Osman, Richard",,"=""0593513037""","=""9780593513033""",0,3.87,Penguin Books,Paperback,384,2025,2020,,2025/08/31,to-read,to-read (#480),to-read,,,,0,0
201845532,"Empire of Shadows (Raiders of the Arcana, #1)",Jacquelyn Benson,"Benson, Jacquelyn",,"=""1959050125""","=""9781959050124""",0,4.18,Vaughan Woods Publishing,Kindle Edition,478,2024,2024,,2025/08/29,to-read,to-read (#479),to-read,,,,0,0
21414439,"Truthwitch (The Witchlands, #1)",Susan Dennard,"Dennard, Susan",,"=""""","=""""",0,3.85,Tor Teen,ebook,416,2016,2016,,2025/08/27,to-read,to-read (#478),to-read,,,,0,0
123000767,Check & Mate,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",5,3.94,G.P. Putnam's Sons Books for Young Readers,Kindle Edition,362,2023,2023,2025/08/26,2023/12/08,2025-tbr,2025-tbr (#6),read,I hate that I loved this so much.,,,1,0
232301811,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""0593873378""","=""9780593873373""",0,4.37,Del Rey,Paperback,448,2025,2023,,2025/08/20,to-read,to-read (#477),to-read,,,,0,0
63024319,Give Me a Sign,Anna Sortino,"Sortino, Anna",,"=""0593533798""","=""9780593533796""",0,4.07,G.P. Putnam's Sons Books for Young Readers,Hardcover,303,2023,2023,,2025/08/19,to-read,to-read (#476),to-read,,,,0,0
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.50,Dandy House,Kindle Edition,446,2020,2020,,2025/08/18,to-read,to-read (#475),to-read,,,,0,0
221871286,"Shield of Sparrows (Shield of Sparrows, #1)",Devney Perry,"Perry, Devney",,"=""1649378084""","=""9781649378088""",5,4.43,Entangled: Red Tower Books,Kindle Edition,658,2025,2025,2025/08/17,2025/05/22,"fantasy, book-recs","fantasy (#178), book-recs (#38)",read,"Nothing new and totally cliche, but I ate it up because I am a raccoon and I love trash.",,,1,0
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",1,3.86,Vintage International,Paperback,366,1990,1929,2025/08/16,2025/06/16,book-club-reads,book-club-reads (#71),read,"DNF @ 20%<br/><br/>Not in the right headspace to read this, probably never will be.",,,1,0
231127059,"Finlay Donovan Crosses the Line (Finlay Donovan, #6)",Elle Cosimano,"Cosimano, Elle",,"=""1250337593""","=""9781250337597""",0,3.83,Minotaur Books,Hardcover,368,2026,2026,,2025/08/11,to-read,to-read (#474),to-read,,,,0,0
52867387,Beach Read,Emily Henry,"Henry, Emily",,"=""1984806734""","=""9781984806734""",5,3.98,Berkley,Paperback,358,2020,2020,2025/08/06,2024/01/08,"2025-tbr, book-club-reads","2025-tbr (#1), book-club-reads (#70)",read,"Despite having to suspend my disbelief a few times and not liking some outcomes, I could not put this book down. ",,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2025/08/05,to-read,to-read (#473),to-read,,,,0,0
234532328,Counting Miracles,Nicholas Sparks,"Sparks, Nicholas",,"=""0593449614""","=""9780593449615""",0,4.16,Dell,Paperback,384,2025,2024,,2025/08/03,to-read,to-read (#472),to-read,,,,0,0
